FE_REPORTE,CAMAS_ADULTOS_COVID,CAMAS_ADULTOS_NOCOVID,CAMAS_ADULTOS_OCC,CAMAS_ADULTOS_DISP,CAMAS_ADULTOS_TOTAL,CAMAS_ICU_COVID,CAMAS_ICU_NOCOVID,CAMAS_ICU_OCC,CAMAS_ICU_DISP,CAMAS_ICU_TOTAL,CAMAS_PED_COVID,CAMAS_PED_NOCOVID,CAMAS_PED_OCC,CAMAS_PED_DISP,CAMAS_PED_TOTAL,CAMAS_PICU_COVID,CAMAS_PICU_NOCOVID,CAMAS_PICU_OCC,CAMAS_PICU_DISP,CAMAS_PICU_TOTAL,VENT_ADULTOS_COVID,VENT_ADULTOS_NOCOVID,VENT_ADULTOS_OCC,VENT_ADULTOS_DISP,VENT_ADULTOS_TOTAL,VENT_PED_COVID,VENT_PED_NOCOVID,VENT_PED_OCC,VENT_PED_DISP,VENT_PED_TOTAL,CUARTOS_PRESNEG_OCC,CUARTOS_PRESNEG_DISP,CUARTOS_PRESNEG_TOTAL,VENT_ORD,VENT_REC,VENT_ENTR,CONVALECIENTES
"2021-04-29 00:00:00",443,3505,3948,2645,6593,92,457,549,209,758,38,355,393,816,1209,4,26,30,59,89,61,362,423,854,1277,2,31,33,118,151,293,254,547,194,161,161,104013
"2021-04-30 00:00:00",443,3505,3948,2645,6593,92,457,549,209,758,38,355,393,816,1209,4,26,30,59,89,61,362,423,854,1277,2,31,33,118,151,293,254,547,194,161,161,105076
"2021-05-01 00:00:00",417,3538,3955,2652,6607,95,481,576,192,768,27,370,397,830,1227,4,29,33,56,89,72,351,423,843,1266,2,32,34,107,141,289,267,556,194,161,161,105472
"2021-05-02 00:00:00",369,3402,3771,2733,6504,84,460,544,191,735,26,372,398,813,1211,3,28,31,57,88,69,325,394,876,1270,2,31,33,108,141,277,283,560,194,161,161,105566
"2021-05-03 00:00:00",360,3236,3596,2864,6460,97,469,566,193,759,29,354,383,815,1198,3,25,28,62,90,71,322,393,903,1296,2,30,32,106,138,267,292,559,194,161,161,106763
"2021-05-04 00:00:00",360,3285,3645,2891,6536,90,455,545,185,730,23,358,381,843,1224,3,20,23,68,91,69,344,413,846,1259,2,30,32,106,138,287,280,567,194,161,161,107678
"2021-05-05 00:00:00",341,3494,3835,2800,6635,94,471,565,182,747,26,389,415,774,1189,3,32,35,53,88,69,360,429,814,1243,2,31,33,106,139,295,284,579,194,161,161,108658
"2021-05-06 00:00:00",314,3692,4006,2682,6688,90,486,576,175,751,31,368,399,800,1199,3,37,40,54,94,72,333,405,924,1329,2,32,34,107,141,288,285,573,194,161,161,109749
"2021-05-07 00:00:00",309,3704,4013,2694,6707,88,471,559,177,736,35,380,415,804,1219,2,32,34,55,89,68,339,407,851,1258,2,36,38,105,143,281,285,566,194,161,161,110595
"2021-05-08 00:00:00",288,3662,3950,2667,6617,85,388,473,158,631,12,433,445,776,1221,2,25,27,68,95,65,324,389,836,1225,2,35,37,111,148,251,302,553,194,161,161,110890
"2021-05-09 00:00:00",283,3572,3855,2834,6689,81,396,477,163,640,22,405,427,786,1213,2,26,28,66,94,61,341,402,817,1219,2,38,40,106,146,264,307,571,194,161,161,110963
"2021-05-10 00:00:00",271,3665,3936,2890,6826,84,389,473,151,624,24,385,409,821,1230,2,23,25,66,91,62,357,419,846,1265,2,38,40,111,151,267,301,568,194,161,161,111962
"2021-05-11 00:00:00",256,3865,4121,2721,6842,79,417,496,143,639,17,408,425,810,1235,1,27,28,66,94,59,354,413,848,1261,1,38,39,112,151,274,300,574,194,161,161,112790
"2021-05-12 00:00:00",255,3975,4230,2654,6884,80,398,478,156,634,20,420,440,812,1252,1,32,33,60,93,57,374,431,832,1263,1,40,41,108,149,260,306,566,194,161,161,113554
"2021-05-13 00:00:00",244,3966,4210,2682,6892,70,391,461,170,631,22,443,465,800,1265,1,29,30,69,99,52,358,410,848,1258,1,39,40,108,148,271,303,574,194,161,161,114243
"2021-05-14 00:00:00",218,3972,4190,2669,6859,64,408,472,163,635,22,424,446,803,1249,1,33,34,56,90,45,343,388,870,1258,1,36,37,105,142,256,325,581,194,161,161,114850
"2021-05-15 00:00:00",213,3686,3899,2832,6731,60,407,467,165,632,19,471,490,749,1239,1,36,37,55,92,43,330,373,899,1272,1,34,35,110,145,247,328,575,194,161,161,115047
"2021-05-16 00:00:00",195,3773,3968,2878,6846,49,416,465,178,643,10,449,459,769,1228,1,37,38,55,93,37,333,370,866,1236,1,44,45,107,152,245,332,577,194,161,161,115099
"2021-05-17 00:00:00",206,3779,3985,2847,6832,56,403,459,188,647,19,425,444,812,1256,1,41,42,56,98,41,324,365,885,1250,1,45,46,109,155,238,314,552,194,161,161,115754
"2021-05-18 00:00:00",214,4058,4272,2678,6950,56,406,462,186,648,23,423,446,806,1252,1,36,37,54,91,41,330,371,883,1254,1,45,46,102,148,242,312,554,194,161,161,116273
"2021-05-19 00:00:00",187,4167,4354,2646,7000,51,422,473,176,649,17,424,441,818,1259,1,36,37,53,90,38,342,380,863,1243,1,44,45,100,145,242,318,560,194,161,161,116677
"2021-05-20 00:00:00",167,4265,4432,2504,6936,43,421,464,177,641,20,442,462,792,1254,1,35,36,60,96,32,324,356,863,1219,1,44,45,103,148,256,313,569,194,161,161,117130
"2021-05-21 00:00:00",165,4303,4468,2513,6981,44,423,467,176,643,20,480,500,764,1264,2,30,32,56,88,31,335,366,937,1303,1,41,42,103,145,265,301,566,194,161,161,117589
"2021-05-22 00:00:00",153,3984,4137,2627,6764,43,402,445,181,626,19,444,463,760,1223,2,35,37,55,92,31,320,351,868,1219,1,53,54,111,165,261,323,584,194,161,161,117739
"2021-05-23 00:00:00",162,3873,4035,2720,6755,43,390,433,203,636,22,471,493,736,1229,2,39,41,46,87,33,306,339,901,1240,1,36,37,113,150,267,315,582,194,161,161,117764
"2021-05-24 00:00:00",148,3891,4039,2746,6785,39,392,431,210,641,19,428,447,777,1224,2,35,37,51,88,30,310,340,915,1255,1,40,41,102,143,246,336,582,194,161,161,118139
"2021-05-25 00:00:00",138,4146,4284,2635,6919,37,417,454,194,648,20,439,459,791,1250,1,36,37,54,91,30,333,363,895,1258,1,35,36,107,143,245,343,588,194,161,161,118454
"2021-05-26 00:00:00",125,4262,4387,2565,6952,36,413,449,202,651,17,471,488,774,1262,1,31,32,56,88,27,315,342,917,1259,1,39,40,108,148,238,340,578,194,161,161,118734
"2021-05-27 00:00:00",98,4208,4306,2568,6874,32,403,435,225,660,15,499,514,748,1262,1,30,31,51,82,25,313,338,900,1238,1,36,37,107,144,255,324,579,194,161,161,119005
"2021-05-28 00:00:00",92,3912,4004,2716,6720,30,413,443,212,655,17,498,515,761,1276,1,34,35,56,91,24,320,344,889,1233,1,40,41,103,144,235,339,574,194,161,161,119213
"2021-05-29 00:00:00",92,3886,3978,2887,6865,29,406,435,214,649,21,444,465,799,1264,2,30,32,58,90,23,316,339,911,1250,2,42,44,105,149,217,354,571,194,161,161,119281
"2021-05-31 00:00:00",70,3821,3891,2803,6694,26,419,445,207,652,27,429,456,805,1261,2,25,27,65,92,16,340,356,912,1268,2,42,44,113,157,200,366,566,194,161,161,119533
"2021-06-01 00:00:00",82,3942,4024,2804,6828,24,417,441,212,653,26,440,466,791,1257,2,26,28,53,81,14,310,324,923,1247,2,38,40,113,153,219,346,565,194,161,161,119719
"2021-06-02 00:00:00",75,4114,4189,2742,6931,23,414,437,205,642,32,504,536,740,1276,2,27,29,53,82,15,322,337,934,1271,2,37,39,105,144,228,341,569,194,161,161,119909
"2021-06-03 00:00:00",75,4218,4293,2667,6960,21,416,437,202,639,24,501,525,710,1235,2,31,33,53,86,14,309,323,922,1245,2,35,37,109,146,229,328,557,194,161,161,120069
